id,name,set,number,total
"mfb-8","Grass Energy","My First Battle","8","48"
"mfb-9","Charmander","My First Battle","9","48"
"2023sv-1","Sprigatito","McDonald's Collection 2023","1","15"
"2023sv-10","Sandaconda","McDonald's Collection 2023","10","15"
"2023sv-11","Klawf","McDonald's Collection 2023","11","15"
"2023sv-12","Blissey","McDonald's Collection 2023","12","15"
"2023sv-13","Tandemaus","McDonald's Collection 2023","13","15"
"2023sv-14","Cyclizar","McDonald's Collection 2023","14","15"
"2023sv-15","Kirlia","McDonald's Collection 2023","15","15"
"2023sv-2","Fuecoco","McDonald's Collection 2023","2","15"
"2023sv-3","Quaxly","McDonald's Collection 2023","3","15"
"2023sv-4","Cetoddle","McDonald's Collection 2023","4","15"
"2023sv-5","Cetitan","McDonald's Collection 2023","5","15"
"2023sv-6","Pikachu","McDonald's Collection 2023","6","15"
"2023sv-7","Pawmi","McDonald's Collection 2023","7","15"
"2023sv-8","Kilowattrel","McDonald's Collection 2023","8","15"
"2023sv-9","Flittle","McDonald's Collection 2023","9","15"
"svp-175","Espeon ex","SVP Black Star Promos","175","225"
"svp-176","Umbreon ex","SVP Black Star Promos","176","225"
"cel25cc-CC014","Gardevoir ex","Celebrations Classic Collection","CC014","25"
"cel25cc-CC015","Umbreon ☆","Celebrations Classic Collection","CC015","25"
"cel25cc-CC022","Mewtwo EX","Celebrations Classic Collection","CC022","25"
"cel25cc-CC023","Xerneas EX","Celebrations Classic Collection","CC023","25"
"cel25cc-CC024","M Rayquaza EX","Celebrations Classic Collection","CC024","25"
"cel25cc-CC025","Tapu Lele GX","Celebrations Classic Collection","CC025","25"
"2018sm-1","Growlithe","McDonald's Collection 2018","1","12"
"2018sm-10","Chansey","McDonald's Collection 2018","10","12"
"2018sm-11","Eevee","McDonald's Collection 2018","11","12"
"2018sm-12","Porygon","McDonald's Collection 2018","12","12"
"2018sm-2","Psyduck","McDonald's Collection 2018","2","12"
"2018sm-3","Horsea","McDonald's Collection 2018","3","12"
"2018sm-4","Pikachu","McDonald's Collection 2018","4","12"
"2018sm-5","Slowpoke","McDonald's Collection 2018","5","12"
"2018sm-6","Machop","McDonald's Collection 2018","6","12"
"2018sm-7","Cubone","McDonald's Collection 2018","7","12"
"2018sm-8","Magnemite","McDonald's Collection 2018","8","12"
"2018sm-9","Dratini","McDonald's Collection 2018","9","12"
"2017sm-1","Rowlet","McDonald's Collection 2017","1","12"
"2017sm-10","Cutiefly","McDonald's Collection 2017","10","12"
"2017sm-11","Pikipek","McDonald's Collection 2017","11","12"
"2017sm-12","Yungoos","McDonald's Collection 2017","12","12"
"2017sm-2","Grubbin","McDonald's Collection 2017","2","12"
"2017sm-3","Litten","McDonald's Collection 2017","3","12"
"2017sm-4","Popplio","McDonald's Collection 2017","4","12"
"2017sm-5","Pikachu","McDonald's Collection 2017","5","12"
"2017sm-6","Cosmog","McDonald's Collection 2017","6","12"
"2017sm-7","Crabrawler","McDonald's Collection 2017","7","12"
"2017sm-8","Alolan Meowth","McDonald's Collection 2017","8","12"
"2017sm-9","Alolan Diglett","McDonald's Collection 2017","9","12"
"tk-sm-l-1","Caterpie","SM trainer Kit (Lycanroc)","1","30"
"tk-sm-r-1","Lightning Energy","SM trainer Kit (Alolan Raichu)","1","30"
"tk-sm-r-10","Lightning Energy","SM trainer Kit (Alolan Raichu)","10","30"
"tk-sm-r-11","Zubat","SM trainer Kit (Alolan Raichu)","11","30"
"tk-sm-l-11","Fletchling","SM trainer Kit (Lycanroc)","11","30"
"tk-sm-l-12","Yungoos","SM trainer Kit (Lycanroc)","12","30"
"tk-sm-r-12","Lightning Energy","SM trainer Kit (Alolan Raichu)","12","30"
"tk-sm-r-13","Spearow","SM trainer Kit (Alolan Raichu)","13","30"
"tk-sm-l-13","Fletchinder","SM trainer Kit (Lycanroc)","13","30"
"tk-sm-r-14","Pikachu","SM trainer Kit (Alolan Raichu)","14","30"
"tk-sm-r-15","Potion","SM trainer Kit (Alolan Raichu)","15","30"
"tk-sm-l-15","Pikipek","SM trainer Kit (Lycanroc)","15","30"
"tk-sm-r-16","Grubbin","SM trainer Kit (Alolan Raichu)","16","30"
"tk-sm-l-16","Lycanroc","SM trainer Kit (Lycanroc)","16","30"
"tk-sm-r-17","Alolan Raichu","SM trainer Kit (Alolan Raichu)","17","30"
"tk-sm-r-18","Bewear","SM trainer Kit (Alolan Raichu)","18","30"
"tk-sm-l-18","Makuhita","SM trainer Kit (Lycanroc)","18","30"
"tk-sm-r-19","Hau","SM trainer Kit (Alolan Raichu)","19","30"
"tk-sm-l-19","Hau","SM trainer Kit (Lycanroc)","19","30"
"tk-sm-r-2","Lightning Energy","SM trainer Kit (Alolan Raichu)","2","30"
"tk-sm-r-20","Psychic Energy","SM trainer Kit (Alolan Raichu)","20","30"
"tk-sm-r-21","Great Ball","SM trainer Kit (Alolan Raichu)","21","30"
"tk-sm-l-21","Great Ball","SM trainer Kit (Lycanroc)","21","30"
"tk-sm-r-22","Drowzee","SM trainer Kit (Alolan Raichu)","22","30"
"tk-sm-r-23","Hau","SM trainer Kit (Alolan Raichu)","23","30"
"tk-sm-l-23","Hau","SM trainer Kit (Lycanroc)","23","30"
"tk-sm-r-24","Psychic Energy","SM trainer Kit (Alolan Raichu)","24","30"
"tk-sm-r-25","Great Ball","SM trainer Kit (Alolan Raichu)","25","30"
"tk-sm-l-25","Great Ball","SM trainer Kit (Lycanroc)","25","30"
"tk-sm-r-26","Togedemaru","SM trainer Kit (Alolan Raichu)","26","30"
"tk-sm-l-27","Big Malasada","SM trainer Kit (Lycanroc)","27","30"
"tk-sm-r-27","Psychic Energy","SM trainer Kit (Alolan Raichu)","27","30"
"tk-sm-r-28","Psychic Energy","SM trainer Kit (Alolan Raichu)","28","30"
"tk-sm-r-29","Pikachu","SM trainer Kit (Alolan Raichu)","29","30"
"tk-sm-r-3","Lightning Energy","SM trainer Kit (Alolan Raichu)","3","30"
"tk-sm-r-30","Alolan Raichu","SM trainer Kit (Alolan Raichu)","30","30"
"tk-sm-r-4","Stufful","SM trainer Kit (Alolan Raichu)","4","30"
"tk-sm-l-4","Trumbeak","SM trainer Kit (Lycanroc)","4","30"
"tk-sm-l-5","Fighting Energy","SM trainer Kit (Lycanroc)","5","30"
"tk-sm-r-5","Lightning Energy","SM trainer Kit (Alolan Raichu)","5","30"
"tk-sm-r-6","Golbat","SM trainer Kit (Alolan Raichu)","6","30"
"tk-sm-r-7","Lightning Energy","SM trainer Kit (Alolan Raichu)","7","30"
"tk-sm-r-8","Lightning Energy","SM trainer Kit (Alolan Raichu)","8","30"
"tk-sm-r-9","Lightning Energy","SM trainer Kit (Alolan Raichu)","9","30"
"tk-xy-su-1","Water Energy","XY trainer Kit (Suicune)","1","30"
"tk-xy-p-1","Glameow","XY trainer Kit (Pikachu Libre)","1","30"
"tk-xy-su-10","Water Energy","XY trainer Kit (Suicune)","10","30"
"tk-xy-p-10","Lightning Energy","XY trainer Kit (Pikachu Libre)","10","30"
"tk-xy-su-11","Froakie","XY trainer Kit (Suicune)","11","30"
"tk-xy-p-11","Electrike","XY trainer Kit (Pikachu Libre)","11","30"
"tk-xy-su-12","Seaking","XY trainer Kit (Suicune)","12","30"
"tk-xy-p-12","Blitzle","XY trainer Kit (Pikachu Libre)","12","30"
"tk-xy-su-13","Goldeen","XY trainer Kit (Suicune)","13","30"
"tk-xy-p-13","Manectric","XY trainer Kit (Pikachu Libre)","13","30"
"tk-xy-su-14","Suicune","XY trainer Kit (Suicune)","14","30"
"tk-xy-p-14","Pikachu Libre","XY trainer Kit (Pikachu Libre)","14","30"
"tk-xy-su-15","Potion","XY trainer Kit (Suicune)","15","30"
"tk-xy-p-15","Electabuzz","XY trainer Kit (Pikachu Libre)","15","30"
"tk-xy-su-16","Piplup","XY trainer Kit (Suicune)","16","30"
"tk-xy-p-16","Fletchling","XY trainer Kit (Pikachu Libre)","16","30"
"tk-xy-su-17","Water Energy","XY trainer Kit (Suicune)","17","30"
"tk-xy-p-17","Lightning Energy","XY trainer Kit (Pikachu Libre)","17","30"
"tk-xy-su-18","Swanna","XY trainer Kit (Suicune)","18","30"
"tk-xy-p-18","Lightning Energy","XY trainer Kit (Pikachu Libre)","18","30"
"tk-xy-su-19","Water Energy","XY trainer Kit (Suicune)","19","30"
"tk-xy-p-19","Purugly","XY trainer Kit (Pikachu Libre)","19","30"
"tk-xy-su-2","Water Energy","XY trainer Kit (Suicune)","2","30"
"tk-xy-p-2","Lightning Energy","XY trainer Kit (Pikachu Libre)","2","30"
"tk-xy-su-20","Tierno","XY trainer Kit (Suicune)","20","30"
"tk-xy-p-20","Tierno","XY trainer Kit (Pikachu Libre)","20","30"
"tk-xy-su-21","Frogadier","XY trainer Kit (Suicune)","21","30"
"tk-xy-p-21","Potion","XY trainer Kit (Pikachu Libre)","21","30"
"tk-xy-su-22","Water Energy","XY trainer Kit (Suicune)","22","30"
"tk-xy-p-22","Manectric","XY trainer Kit (Pikachu Libre)","22","30"
"tk-xy-su-23","Froakie","XY trainer Kit (Suicune)","23","30"
"tk-xy-p-23","Electabuzz","XY trainer Kit (Pikachu Libre)","23","30"
"tk-xy-su-24","Ducklett","XY trainer Kit (Suicune)","24","30"
"tk-xy-p-24","Purugly","XY trainer Kit (Pikachu Libre)","24","30"
"tk-xy-su-25","Seaking","XY trainer Kit (Suicune)","25","30"
"tk-xy-p-25","Electivire","XY trainer Kit (Pikachu Libre)","25","30"
"tk-xy-su-26","Goldeen","XY trainer Kit (Suicune)","26","30"
"tk-xy-p-26","Blitzle","XY trainer Kit (Pikachu Libre)","26","30"
"tk-xy-su-27","Swanna","XY trainer Kit (Suicune)","27","30"
"tk-xy-p-27","Glameow","XY trainer Kit (Pikachu Libre)","27","30"
"tk-xy-su-28","Water Energy","XY trainer Kit (Suicune)","28","30"
"tk-xy-p-28","Electrike","XY trainer Kit (Pikachu Libre)","28","30"
"tk-xy-su-29","Tierno","XY trainer Kit (Suicune)","29","30"
"tk-xy-p-29","Lightning Energy","XY trainer Kit (Pikachu Libre)","29","30"
"tk-xy-su-3","Water Energy","XY trainer Kit (Suicune)","3","30"
"tk-xy-p-3","Lightning Energy","XY trainer Kit (Pikachu Libre)","3","30"
"tk-xy-su-30","Suicune","XY trainer Kit (Suicune)","30","30"
"tk-xy-p-30","Pikachu Libre","XY trainer Kit (Pikachu Libre)","30","30"
"tk-xy-su-4","Eevee","XY trainer Kit (Suicune)","4","30"
"tk-xy-p-4","Electivire","XY trainer Kit (Pikachu Libre)","4","30"
"tk-xy-su-5","Water Energy","XY trainer Kit (Suicune)","5","30"
"tk-xy-p-5","Lightning Energy","XY trainer Kit (Pikachu Libre)","5","30"
"tk-xy-su-6","Frogadier","XY trainer Kit (Suicune)","6","30"
"tk-xy-p-6","Lightning Energy","XY trainer Kit (Pikachu Libre)","6","30"
"tk-xy-su-7","Ducklett","XY trainer Kit (Suicune)","7","30"
"tk-xy-p-7","Taillow","XY trainer Kit (Pikachu Libre)","7","30"
"tk-xy-su-8","Water Energy","XY trainer Kit (Suicune)","8","30"
"tk-xy-p-8","Lightning Energy","XY trainer Kit (Pikachu Libre)","8","30"
"tk-xy-su-9","Water Energy","XY trainer Kit (Suicune)","9","30"
"tk-xy-p-9","Lightning Energy","XY trainer Kit (Pikachu Libre)","9","30"
"tk-xy-latia-1","Grass Energy","XY trainer Kit (Latias)","1","30"
"tk-xy-latio-1","Skitty","XY trainer Kit (Latios)","1","30"
"tk-xy-latia-10","Psychic Energy","XY trainer Kit (Latias)","10","30"
"tk-xy-latio-10","Fighting Energy","XY trainer Kit (Latios)","10","30"
"tk-xy-latia-11","Lotad","XY trainer Kit (Latias)","11","30"
"tk-xy-latio-11","Machop","XY trainer Kit (Latios)","11","30"
"tk-xy-latia-12","Tangrowth","XY trainer Kit (Latias)","12","30"
"tk-xy-latio-12","Solrock","XY trainer Kit (Latios)","12","30"
"tk-xy-latia-13","Tangela","XY trainer Kit (Latias)","13","30"
"tk-xy-latio-13","Latios","XY trainer Kit (Latios)","13","30"
"tk-xy-latia-14","Latias","XY trainer Kit (Latias)","14","30"
"tk-xy-latio-14","Machoke","XY trainer Kit (Latios)","14","30"
"tk-xy-latia-15","Potion","XY trainer Kit (Latias)","15","30"
"tk-xy-latio-15","Rhyhorn","XY trainer Kit (Latios)","15","30"
"tk-xy-latia-16","Surskit","XY trainer Kit (Latias)","16","30"
"tk-xy-latio-16","Psychic Energy","XY trainer Kit (Latios)","16","30"
"tk-xy-latia-17","Psychic Energy","XY trainer Kit (Latias)","17","30"
"tk-xy-latio-17","Fighting Energy","XY trainer Kit (Latios)","17","30"
"tk-xy-latia-18","Grovyle","XY trainer Kit (Latias)","18","30"
"tk-xy-latio-18","Psychic Energy","XY trainer Kit (Latios)","18","30"
"tk-xy-latia-19","Grass Energy","XY trainer Kit (Latias)","19","30"
"tk-xy-latio-19","Delcatty","XY trainer Kit (Latios)","19","30"
"tk-xy-latia-2","Grass Energy","XY trainer Kit (Latias)","2","30"
"tk-xy-latio-2","Fighting Energy","XY trainer Kit (Latios)","2","30"
"tk-xy-latia-20","Acro Bike","XY trainer Kit (Latias)","20","30"
"tk-xy-latio-20","Acro Bike","XY trainer Kit (Latios)","20","30"
"tk-xy-latia-21","Lombre","XY trainer Kit (Latias)","21","30"
"tk-xy-latio-21","Potion","XY trainer Kit (Latios)","21","30"
"tk-xy-latia-22","Psychic Energy","XY trainer Kit (Latias)","22","30"
"tk-xy-latio-22","Machoke","XY trainer Kit (Latios)","22","30"
"tk-xy-latia-23","Lotad","XY trainer Kit (Latias)","23","30"
"tk-xy-latio-23","Rhyhorn","XY trainer Kit (Latios)","23","30"
"tk-xy-latia-24","Treecko","XY trainer Kit (Latias)","24","30"
"tk-xy-latio-24","Delcatty","XY trainer Kit (Latios)","24","30"
"tk-xy-latia-25","Tangrowth","XY trainer Kit (Latias)","25","30"
"tk-xy-latio-25","Rhydon","XY trainer Kit (Latios)","25","30"
"tk-xy-latia-26","Tangela","XY trainer Kit (Latias)","26","30"
"tk-xy-latio-26","Solrock","XY trainer Kit (Latios)","26","30"
"tk-xy-latia-27","Grovyle","XY trainer Kit (Latias)","27","30"
"tk-xy-latio-27","Skitty","XY trainer Kit (Latios)","27","30"
"tk-xy-latia-28","Psychic Energy","XY trainer Kit (Latias)","28","30"
"tk-xy-latio-28","Machop","XY trainer Kit (Latios)","28","30"
"tk-xy-latia-29","Acro Bike","XY trainer Kit (Latias)","29","30"
"tk-xy-latio-29","Psychic Energy","XY trainer Kit (Latios)","29","30"
"tk-xy-latia-3","Grass Energy","XY trainer Kit (Latias)","3","30"
"tk-xy-latio-3","Fighting Energy","XY trainer Kit (Latios)","3","30"
"tk-xy-latia-30","Latias","XY trainer Kit (Latias)","30","30"
"tk-xy-latio-30","Latios","XY trainer Kit (Latios)","30","30"
"tk-xy-latia-4","Fletchling","XY trainer Kit (Latias)","4","30"
"tk-xy-latio-4","Rhydon","XY trainer Kit (Latios)","4","30"
"tk-xy-latia-5","Grass Energy","XY trainer Kit (Latias)","5","30"
"tk-xy-latio-5","Fighting Energy","XY trainer Kit (Latios)","5","30"
"tk-xy-latia-6","Lombre","XY trainer Kit (Latias)","6","30"
"tk-xy-latio-6","Fighting Energy","XY trainer Kit (Latios)","6","30"
"tk-xy-latia-7","Treecko","XY trainer Kit (Latias)","7","30"
"tk-xy-latio-7","Fighting Energy","XY trainer Kit (Latios)","7","30"
"tk-xy-latia-8","Psychic Energy","XY trainer Kit (Latias)","8","30"
"tk-xy-latio-8","Fighting Energy","XY trainer Kit (Latios)","8","30"
"tk-xy-latia-9","Psychic Energy","XY trainer Kit (Latias)","9","30"
"tk-xy-latio-9","Fighting Energy","XY trainer Kit (Latios)","9","30"
"tk-xy-b-1","Fletchling","XY trainer Kit (Bisharp)","1","30"
"tk-xy-w-1","Swirlix","XY trainer Kit (Wigglytuff)","1","30"
"tk-xy-b-10","Metal Energy","XY trainer Kit (Bisharp)","10","30"
"tk-xy-w-10","Fairy Energy","XY trainer Kit (Wigglytuff)","10","30"
"tk-xy-b-11","Honedge","XY trainer Kit (Bisharp)","11","30"
"tk-xy-w-11","Pidgey","XY trainer Kit (Wigglytuff)","11","30"
"tk-xy-b-12","Bidoof","XY trainer Kit (Bisharp)","12","30"
"tk-xy-w-12","Jigglypuff","XY trainer Kit (Wigglytuff)","12","30"
"tk-xy-b-13","Pawniard","XY trainer Kit (Bisharp)","13","30"
"tk-xy-w-13","Clefairy","XY trainer Kit (Wigglytuff)","13","30"
"tk-xy-b-14","Doublade","XY trainer Kit (Bisharp)","14","30"
"tk-xy-w-14","Wigglytuff","XY trainer Kit (Wigglytuff)","14","30"
"tk-xy-b-15","Slakoth","XY trainer Kit (Bisharp)","15","30"
"tk-xy-w-15","Potion","XY trainer Kit (Wigglytuff)","15","30"
"tk-xy-b-16","Bisharp","XY trainer Kit (Bisharp)","16","30"
"tk-xy-w-16","Clefable","XY trainer Kit (Wigglytuff)","16","30"
"tk-xy-b-17","Patrat","XY trainer Kit (Bisharp)","17","30"
"tk-xy-w-17","Fairy Energy","XY trainer Kit (Wigglytuff)","17","30"
"tk-xy-b-18","Metal Energy","XY trainer Kit (Bisharp)","18","30"
"tk-xy-w-18","Swirlix","XY trainer Kit (Wigglytuff)","18","30"
"tk-xy-b-19","Tierno","XY trainer Kit (Bisharp)","19","30"
"tk-xy-w-19","Clefairy","XY trainer Kit (Wigglytuff)","19","30"
"tk-xy-b-2","Metal Energy","XY trainer Kit (Bisharp)","2","30"
"tk-xy-w-2","Pidgeotto","XY trainer Kit (Wigglytuff)","2","30"
"tk-xy-b-20","Trevor","XY trainer Kit (Bisharp)","20","30"
"tk-xy-w-20","Potion","XY trainer Kit (Wigglytuff)","20","30"
"tk-xy-b-21","Pawniard","XY trainer Kit (Bisharp)","21","30"
"tk-xy-w-21","Fairy Energy","XY trainer Kit (Wigglytuff)","21","30"
"tk-xy-b-22","Metal Energy","XY trainer Kit (Bisharp)","22","30"
"tk-xy-w-22","Fairy Energy","XY trainer Kit (Wigglytuff)","22","30"
"tk-xy-b-23","Doublade","XY trainer Kit (Bisharp)","23","30"
"tk-xy-w-23","Pidgeotto","XY trainer Kit (Wigglytuff)","23","30"
"tk-xy-b-24","Metal Energy","XY trainer Kit (Bisharp)","24","30"
"tk-xy-w-24","Trevor","XY trainer Kit (Wigglytuff)","24","30"
"tk-xy-b-25","Potion","XY trainer Kit (Bisharp)","25","30"
"tk-xy-w-25","Jigglypuff","XY trainer Kit (Wigglytuff)","25","30"
"tk-xy-b-26","Slakoth","XY trainer Kit (Bisharp)","26","30"
"tk-xy-w-26","Tierno","XY trainer Kit (Wigglytuff)","26","30"
"tk-xy-b-27","Honedge","XY trainer Kit (Bisharp)","27","30"
"tk-xy-w-27","Fairy Energy","XY trainer Kit (Wigglytuff)","27","30"
"tk-xy-b-28","Vigoroth","XY trainer Kit (Bisharp)","28","30"
"tk-xy-w-28","Clefable","XY trainer Kit (Wigglytuff)","28","30"
"tk-xy-b-29","Potion","XY trainer Kit (Bisharp)","29","30"
"tk-xy-w-29","Pidgey","XY trainer Kit (Wigglytuff)","29","30"
"tk-xy-b-3","Metal Energy","XY trainer Kit (Bisharp)","3","30"
"tk-xy-w-3","Fairy Energy","XY trainer Kit (Wigglytuff)","3","30"
"tk-xy-b-30","Bisharp","XY trainer Kit (Bisharp)","30","30"
"tk-xy-w-30","Wigglytuff","XY trainer Kit (Wigglytuff)","30","30"
"tk-xy-b-4","Vigoroth","XY trainer Kit (Bisharp)","4","30"
"tk-xy-w-4","Sentret","XY trainer Kit (Wigglytuff)","4","30"
"tk-xy-b-5","Metal Energy","XY trainer Kit (Bisharp)","5","30"
"tk-xy-w-5","Fairy Energy","XY trainer Kit (Wigglytuff)","5","30"
"tk-xy-b-6","Metal Energy","XY trainer Kit (Bisharp)","6","30"
"tk-xy-w-6","Fairy Energy","XY trainer Kit (Wigglytuff)","6","30"
"tk-xy-b-7","Metal Energy","XY trainer Kit (Bisharp)","7","30"
"tk-xy-w-7","Fairy Energy","XY trainer Kit (Wigglytuff)","7","30"
"tk-xy-b-8","Metal Energy","XY trainer Kit (Bisharp)","8","30"
"tk-xy-w-8","Fairy Energy","XY trainer Kit (Wigglytuff)","8","30"
"tk-xy-b-9","Metal Energy","XY trainer Kit (Bisharp)","9","30"
"tk-xy-w-9","Fairy Energy","XY trainer Kit (Wigglytuff)","9","30"
"tk-xy-sy-1","Fletchling","XY trainer Kit (Sylveon)","1","30"
"tk-xy-n-1","Spoink","XY trainer Kit (Noivern)","1","30"
"tk-xy-sy-10","Fairy Energy","XY trainer Kit (Sylveon)","10","30"
"tk-xy-n-10","Psychic Energy","XY trainer Kit (Noivern)","10","30"
"tk-xy-sy-11","Snubbull","XY trainer Kit (Sylveon)","11","30"
"tk-xy-n-11","Pumpkaboo","XY trainer Kit (Noivern)","11","30"
"tk-xy-sy-12","Fairy Energy","XY trainer Kit (Sylveon)","12","30"
"tk-xy-n-12","Noibat","XY trainer Kit (Noivern)","12","30"
"tk-xy-sy-13","Eevee","XY trainer Kit (Sylveon)","13","30"
"tk-xy-n-13","Noivern","XY trainer Kit (Noivern)","13","30"
"tk-xy-sy-14","Granbull","XY trainer Kit (Sylveon)","14","30"
"tk-xy-n-14","Pokémon Catcher","XY trainer Kit (Noivern)","14","30"
"tk-xy-sy-15","Sylveon","XY trainer Kit (Sylveon)","15","30"
"tk-xy-n-15","Potion","XY trainer Kit (Noivern)","15","30"
"tk-xy-sy-16","Furfrou","XY trainer Kit (Sylveon)","16","30"
"tk-xy-n-16","Ekans","XY trainer Kit (Noivern)","16","30"
"tk-xy-sy-17","Fairy Energy","XY trainer Kit (Sylveon)","17","30"
"tk-xy-n-17","Psychic Energy","XY trainer Kit (Noivern)","17","30"
"tk-xy-sy-18","Fairy Energy","XY trainer Kit (Sylveon)","18","30"
"tk-xy-n-18","Pumpkaboo","XY trainer Kit (Noivern)","18","30"
"tk-xy-sy-19","Fletchling","XY trainer Kit (Sylveon)","19","30"
"tk-xy-n-19","Darkness Energy","XY trainer Kit (Noivern)","19","30"
"tk-xy-sy-2","Fairy Energy","XY trainer Kit (Sylveon)","2","30"
"tk-xy-n-2","Gourgeist","XY trainer Kit (Noivern)","2","30"
"tk-xy-sy-20","Potion","XY trainer Kit (Sylveon)","20","30"
"tk-xy-n-20","Furfrou","XY trainer Kit (Noivern)","20","30"
"tk-xy-sy-21","Eevee","XY trainer Kit (Sylveon)","21","30"
"tk-xy-n-21","Poké Ball","XY trainer Kit (Noivern)","21","30"
"tk-xy-sy-22","Furfrou","XY trainer Kit (Sylveon)","22","30"
"tk-xy-n-22","Darkness Energy","XY trainer Kit (Noivern)","22","30"
"tk-xy-sy-23","Pokémon Catcher","XY trainer Kit (Sylveon)","23","30"
"tk-xy-n-23","Noibat","XY trainer Kit (Noivern)","23","30"
"tk-xy-sy-24","Potion","XY trainer Kit (Sylveon)","24","30"
"tk-xy-n-24","Professor’s Letter","XY trainer Kit (Noivern)","24","30"
"tk-xy-sy-25","Fairy Energy","XY trainer Kit (Sylveon)","25","30"
"tk-xy-n-25","Psychic Energy","XY trainer Kit (Noivern)","25","30"
"tk-xy-sy-26","Poké Ball","XY trainer Kit (Sylveon)","26","30"
"tk-xy-n-26","Darkness Energy","XY trainer Kit (Noivern)","26","30"
"tk-xy-sy-27","Snubbull","XY trainer Kit (Sylveon)","27","30"
"tk-xy-n-27","Potion","XY trainer Kit (Noivern)","27","30"
"tk-xy-sy-28","Professor’s Letter","XY trainer Kit (Sylveon)","28","30"
"tk-xy-n-28","Darkness Energy","XY trainer Kit (Noivern)","28","30"
